
Image Name                     PID Session Name        Session#    Mem Usage
com.docker.build.exe         12504 Console                    1     36,844 K
Docker Desktop.exe            3916 Console                    1     96,196 K
vmwp.exe                      1956 Services                   0     16,044 K
vmmem                         7268 Services                   0    245,516 K
dllhost.exe                  13264 Console                    1      7,416 K
dllhost.exe                   6824 Console                    1      8,240 K
wslrelay.exe                 13500 Console                    1      7,992 K
wsl.exe                      13584 Console                    1      6,324 K
wsl.exe                      13592 Console                    1      6,324 K
wsl.exe                      13648 Console                    1      9,124 K
wsl.exe                      13656 Console                    1      9,260 K
wslhost.exe                  13836 Console                    1      9,444 K
wslhost.exe                  13872 Console                    1      8,588 K
wslhost.exe                  13916 Console                    1      8,472 K
wslhost.exe                  13924 Console                    1      8,472 K
conhost.exe                  13964 Console                    1      7,744 K
conhost.exe                  13972 Console                    1      7,756 K
conhost.exe                  13980 Console                    1      7,756 K
conhost.exe                  13988 Console                    1      7,764 K
msrdc.exe                    14228 Console                    1     32,908 K
docker-sandbox.exe           13168 Console                    1     14,984 K
Docker Desktop.exe           14188 Console                    1     71,896 K
Docker Desktop.exe           14280 Console                    1     50,932 K
SearchApp.exe                13296 Console                    1     67,296 K
Docker Desktop.exe           13292 Console                    1    111,388 K
msedgewebview2.exe           12148 Console                    1     84,052 K
msedgewebview2.exe            3696 Console                    1      9,352 K
msedgewebview2.exe            3288 Console                    1     34,400 K
msedgewebview2.exe           13880 Console                    1     50,072 K
msedgewebview2.exe           14380 Console                    1     20,400 K
msedgewebview2.exe           14504 Console                    1     54,232 K
cagent.exe                    7472 Console                    1     53,004 K
conhost.exe                   3056 Console                    1      6,100 K
M365Copilot.exe              10484 Console                    1    101,408 K
RuntimeBroker.exe            14968 Console                    1     10,184 K
msedgewebview2.exe            8860 Console                    1     99,724 K
msedgewebview2.exe           11816 Console                    1     10,396 K
msedgewebview2.exe            6096 Console                    1     55,440 K
msedgewebview2.exe            4208 Console                    1     38,800 K
msedgewebview2.exe            6252 Console                    1     19,212 K
msedgewebview2.exe           10272 Console                    1     61,780 K
ApplicationFrameHost.exe     12632 Console                    1     23,444 K
SystemSettings.exe             760 Console                    1      2,140 K
UserOOBEBroker.exe           15028 Console                    1      8,892 K
svchost.exe                   5844 Services                   0      9,508 K
dllhost.exe                  10496 Console                    1     11,040 K
CompPkgSrv.exe                2148 Console                    1      8,124 K
taskhostw.exe                 5840 Console                    1     21,184 K
msedge.exe                    8620 Console                    1    372,840 K
svchost.exe                  13572 Services                   0      8,152 K
powershell.exe                 500 Console                    1     81,276 K
conhost.exe                  15576 Console                    1     17,816 K
svchost.exe                   6364 Services                   0      7,612 K
msedge.exe                    6040 Console                    1     32,284 K
svchost.exe                   5728 Services                   0     10,260 K
SearchProtocolHost.exe       12876 Console                    1      8,484 K
SearchFilterHost.exe         13568 Services                   0      7,672 K
SearchProtocolHost.exe       15916 Services                   0     14,124 K
python.exe                   15104 Console                    1     50,024 K
WmiPrvSE.exe                 13344 Services                   0     11,256 K
cmd.exe                       9572 Console                    1      4,380 K
tasklist.exe                  2728 Console                    1      9,400 K
